case_nr,case_link,case_address,month
"BG Innsbruck, 23 S 13/07d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/e320e74a8d424bf8c1257a6c006eac9f!OpenDocument,6080,2007-02-01
"BG Fünfhaus, 17 S 16/02x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/49cf6cf183c51035c1257a6c005968a2!OpenDocument,1140,2007-02-01
"BG Favoriten, 13 S 135/05s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/c6d39ff7ebc1d8e5c1257a6c0057eaf1!OpenDocument,1100,2007-02-01
"LG Wels, 20 S 142/04i",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/716ffe4f63a19c9bc1257a6c00680ea5!OpenDocument,4632,2007-02-01
"LG Salzburg, 23 Se 400/06b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/995a05e93665d55fc1257a6c00699109!OpenDocument,5020,2007-02-01
"BG Josefstadt, 11 S 37/06s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/4cc1fe491fd61f8cc1257a6c005c40ed!OpenDocument,1090,2007-02-01
"BG Innere Stadt Wien, 66 S 24/06d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/1ed77cd6a3f7bc83c1257a6c0054e178!OpenDocument,1030,2007-02-01
"BG Innere Stadt Wien, 66 S 23/06g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/93fc86dbdd963326c1257a6c0054e16a!OpenDocument,1040,2007-02-01
"LG Klagenfurt, 40 S 27/06w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/255a872ea041e5c5c1257a6c006cfdb8!OpenDocument,9072,2007-02-01
"BG Baden, 5 S 7/06w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/09a6c4c54368c156c1257a6c005c975c!OpenDocument,2534,2007-02-01
"BG Hernals, 13 S 18/05v",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/553ca0363c1cd939c1257a6c005a13f0!OpenDocument,1020,2007-02-01
"BG Kufstein, 6 S 68/05w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/7d1174d3c0d2a862c1257a6c006f8c45!OpenDocument,6342,2007-02-01
"BG Favoriten, 43 S 30/06x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/fa12057a1901b457c1257a6c00583cf9!OpenDocument,1100,2007-02-01
"BG Hernals, 13 S 1/07x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/8907fb769730608dc1257a6c005a15ec!OpenDocument,1160,2007-02-01
"BG Josefstadt, 11 S 2/07w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/bc8a6532d648939fc1257e36003f9688!OpenDocument,1070,2007-02-01
"BG Favoriten, 43 S 2/07f",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/89abb2b4af6bd97ec1257a6c00583dad!OpenDocument,1100,2007-02-01
"BG Eisenkappel, S 5/06p",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/4c7b9798493013d8c1257a6c006df3c9!OpenDocument,9135,2007-02-01
"BG Bezau, 6 S 14/05i",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/0b40704b5fe49a27c1257a6c007040de!OpenDocument,6991,2007-02-01
"LG Korneuburg, 36 S 24/07g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/9cc4d8e62e7686cbc1257a6c00610713!OpenDocument,2282,2007-02-01
"BG Hall (in Tirol), 13 S 40/06x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/d6b54532e1b94c6dc1257a6c006e32bf!OpenDocument,6111,2007-02-01
"BG Favoriten, 44 S 10/07i",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/0e75f1151c6c5df6c1257a6c00585e9f!OpenDocument,1100,2007-02-01
"BG Innere Stadt Wien, 68 S 3/07g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/330d11d758b8edf9c1257a6c005516fd!OpenDocument,1170,2007-02-01
"BG Innere Stadt Wien, 69 S 20/05m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/08f1a07d7cd3d47fc1257a6c00552d46!OpenDocument,1030,2007-02-01
"BG Wiener Neustadt, 10 S 4/06m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/4653b46e7353ab1fc1257a6c00630322!OpenDocument,2700,2007-02-01
"BG Innsbruck, 24 S 6/07g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b39e46aefbced22fc1257a6c006ecadc!OpenDocument,6020,2007-02-01
"LG Salzburg, 44 Se 12/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/bde2ac21c1787dadc1257a6c0069ae18!OpenDocument,5020,2007-02-01
"BG Dornbirn, 14 S 10/07t",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/987d5ce8a4b8b365c1257a6c0070c417!OpenDocument,6845,2007-02-01
"BG Fünfhaus, 16 S 48/05z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/5130ba923aa46c48c1257a6c0059175b!OpenDocument,1140,2007-02-01
"BG Hernals, 18 Se 2/06d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/074eb3ac0f8e2dedc1257a6c005a44a8!OpenDocument,1011,2007-02-01
"BG Favoriten, 45 S 14/07k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/0e78b9db8adb1779c1257a6c00588915!OpenDocument,1100,2007-02-01
"BG Favoriten, 46 S 2/07b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/509e6b16d672176ec1257a6c0058c370!OpenDocument,1100,2007-02-01
"BG Bregenz, 22 S 21/06s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/15df4518bdacfb9ec1257a6c00708c6c!OpenDocument,6900,2007-02-01
"BG Bregenz, 22 S 10/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/642254e9f9e29ec5c1257a6c00708f0e!OpenDocument,6900,2007-02-01
"BG Favoriten, 46 S 3/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/20c5f85e3497deedc1257a6c0058c385!OpenDocument,1100,2007-02-01
"LGZ Graz, 25 S 16/07a",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/e487905a179ee6c5c1257a6c006b1639!OpenDocument,8511,2007-02-01
"BG Gänserndorf, 11 S 38/06g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/6b7bdc9558db7ddfc1257a6c005d7af5!OpenDocument,2285,2007-02-01
"BG Telfs, 6 S 5/05f",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/0fb342509da22c66c1257a6c006f0d6b!OpenDocument,6170,2007-02-01
"LG Klagenfurt, 40 S 9/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/63d8f2a8fdca1709c1257a6c006cfef2!OpenDocument,2006,2007-02-01
"BG Hietzing, 13 S 3/07k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/919ce2d584b959bbc1257a6c00590546!OpenDocument,1130,2007-02-01
"BG Innere Stadt Wien, 72 S 6/07b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/cf682f9eb3af171ac1257a6c00558a6b!OpenDocument,1110,2007-02-01
"BG Bregenz, 22 S 3/07w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/c7f13061e6e355f7c1257a6c00708e93!OpenDocument,6900,2007-02-01
"BG Innere Stadt Wien, 72 S 7/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/490007279d0168bcc1257a6c00558a85!OpenDocument,1110,2007-02-01
"BG Favoriten, 46 S 25/06h",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/84183d08a6c7dec7c1257a6c0058c205!OpenDocument,1100,2007-02-01
"LG Leoben, 17 S 123/04p",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/f5429583f8b59399c1257a6c006a59c4!OpenDocument,8741,2007-02-01
"BG Favoriten, 45 S 33/06b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/9428dccafce6719dc1257a6c0058867b!OpenDocument,1100,2007-03-01
"BG Hernals, 31 S 28/05x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/4c43f1d80d5bef19c1257a6c005a5b7a!OpenDocument,1160,2007-03-01
"HG Wien, 36 S 41/05z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/4b19e81b923a0904c1257e36003f8724!OpenDocument,1040,2007-03-01
"HG Wien, 36 S 42/05x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/7b8ededa17e80bf7c1257a6c0057a77b!OpenDocument,1040,2007-03-01
"LG Wels, 20 S 29/07a",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/833c4fd373e827ddc1257a6c0068134c!OpenDocument,4844,2007-03-01
"BG Fünfhaus, 16 S 35/07s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/88362687540b9a0cc1257a6c005938ca!OpenDocument,1140,2007-03-01
"BG Imst, 5 S 21/06i",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/be89d57cc790215dc1257a6c006e0a91!OpenDocument,6460,2007-03-01
"BG Favoriten, 41 S 16/06y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/ce61e8336367f572c1257a6c0057f335!OpenDocument,1100,2007-03-01
"BG Favoriten, 41 S 14/06d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/bd22eb65922bb98fc1257a6c0057f317!OpenDocument,1100,2007-03-01
